answer,qid
"The group of bugs began to be the enemy of the narrator, and the narrator grabbed a reachable and close thing that was a rolled comic book because the group of bugs scared her.",blogs-07-6
"The group of bugs began to be the enemy of the narrator, and the narrator grabbed a reachable and close thing that was a rolled comic book because the group of bugs scared her.",blogs-07-7
The narrator,blogs-07-8
"The group of bugs began to be the enemy of the narrator, and the narrator grabbed a reachable and close thing that was a rolled comic book because the group of bugs scared her.",blogs-07-9
"Every action of the story of the narrator happened notably, and a group of cicadas didn't even and yet arrive to the apartment of the narrator.",blogs-07-10
A summit meeting named G20 summit started on eventful today.,blogs-01-1
A summit meeting named G20 summit started on eventful today.,blogs-01-2
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-3
The people burned a police car and threw a thing at a police.,blogs-01-4
The people,blogs-01-5
The people,blogs-01-6
The people burned a police car and threw a thing at a police.,blogs-01-7
The people,blogs-01-8
Police cars cars,blogs-01-9
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not.,blogs-01-10
tear gas gas and bean bullets,blogs-01-11
tear gas gas and bean bullets,blogs-01-12
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-13
The police,blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-15
The people protested peacefully on a street.,blogs-01-16
The people rebelled and created riot.,blogs-01-17
Police were in full riot gear to alleviate the violence.,blogs-01-18
The police,blogs-01-19
The people,blogs-01-20
The police,blogs-01-21
The police,blogs-01-22
A summit meeting named G20 summit started on eventful today.,blogs-01-23
The police,blogs-01-24
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-25
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-26
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not.,blogs-01-27
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not.,blogs-01-28
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not.,blogs-01-29
A world and many leader,blogs-01-30
The police,blogs-01-31
on a street,blogs-01-32
The people burned a police car and threw a thing at a police.,blogs-01-33
The police,blogs-01-34
A world and many leader came and talked about it running a government.,blogs-01-35
A summit meeting named G20 summit,blogs-01-36
A Fox,fables-04-1
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-2
in a flat and large dish,fables-04-3
a fox and a stork and a pitcher,fables-04-4
A Fox invited a Stork,fables-04-5
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.,fables-04-6
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.,fables-04-7
"Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.",fables-04-8
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-9
The stork,fables-04-10
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.,fables-04-11
A clever fox invited a stork to dine.,fables-04-12
The fox only served some soup in a flat and large dish.,fables-04-13
The stork,fables-04-14
The stork,fables-04-15
A clever fox invited a stork to dine.,fables-04-16
The stork,fables-04-17
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-18
The Fox lapped it,fables-04-19
a Fox and a Stork,fables-04-20
The stork,fables-04-21
"But not long after the Stork invited him in turn, and set before him a pitcher with a long and narrow neck, into which she could get her bill with ease.",fables-04-22
Her evident distress caused the sly Fox much amusement.,fables-04-23
Her evident distress caused the sly Fox much amusement.,fables-04-24
The stork,fables-04-25
The stork,fables-04-26
The stork attempted to drink some savory broth and failed.,fables-04-27
"The narrator was a teacher, owned some white slip and owned a desk.",blogs-05-1
The narrator checked the group of students for presence and stood at the front of a classroom.,blogs-05-2
The narrator,blogs-05-3
"The narrator resumed teaching, and the group of students didn't react.",blogs-05-4
The narrator,blogs-05-5
The narrator lifted the slip and inserted it into a bottom drawer of the desk.,blogs-05-6
Nervously I looked down to see that my underslip had somehow made its way to the floor.,blogs-05-7
Just thought I would share with you one of my most embarassing moments as a teacher to date.,blogs-05-8
Nervously I looked down to see that my underslip had somehow made its way to the floor.,blogs-05-9
The narrator carefully stepped over the slip.,blogs-05-10
The group of students saw that the slip had fallen because the elastic of the slip was dysfunctional.,blogs-05-11
The narrator,blogs-05-12
Ten years ago I was teaching a mixed class of 5th graders ESL.,blogs-05-13
Later that day I wondered how they had described the day to their parents over dinner.,blogs-05-14
I,blogs-05-15
The narrator,blogs-05-16
"The narrator was a teacher, owned some white slip and owned a desk.",blogs-05-17
"The narrator was a teacher, owned some white slip and owned a desk.",blogs-05-18
The narrator lifted the slip and inserted it into a bottom drawer of the desk.,blogs-05-19
The narrator later feared for the group of students to tell a parent of the group of students that the group of students had seen that the slip had fallen because the elastic of the slip was dysfunctional.,blogs-05-20
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-1
"As ill-luck would have it, however, the Fox made straight for the fields where the corn was standing ripe and ready for cutting.",fables-05-2
his,fables-05-3
The agriculturist set a,fables-05-4
onto the tail of the fox and in order,fables-05-5
The agriculturist,fables-05-6
The corn ignited and burned completely.,fables-05-7
The agriculturist,fables-05-8
"It quickly caught fire and was all burnt up, and the Farmer lost all his harvest.",fables-05-9
The agriculturist set a,fables-05-10
The agriculturist,fables-05-11
The agriculturist began to be unlucky because the fox ran into a field.,fables-05-12
The corn ignited and burned completely.,fables-05-13
the,fables-05-14
An agriculturist began to be annoyed by the fox.,fables-05-15
The agriculturist,fables-05-16
The agriculturist kindled the fiber and freed the fox.,fables-05-17
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-18
The fox was nightly prowling a yard.,fables-05-19
Some corn began to be ripe in the field and began to be ready to a harvest.,fables-05-20
Some corn began to be ripe in the field and began to be ready to a harvest.,fables-05-21
The agriculturist set a,fables-05-22
The agriculturist set a,fables-05-23
The agriculturist set a,fables-05-24
The agriculturist kindled the fiber and freed the fox.,fables-05-25
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-1
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-2
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-3
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.,blogs-02-5
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-6
"At first, my logical mind thought that it was my brother playing around with his new flashlight (not at all like it, but the closest thing I could imagine)
And when I went inside the house, everyone was snoring!",blogs-02-7
A young man,blogs-02-8
The narrator,blogs-02-9
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-10
The narrator began to wonder that the flash was an orb,blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.,blogs-02-12
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-13
on the front yard of a narrator,blogs-02-14
A young man,blogs-02-15
The narrator,blogs-02-16
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-17
The narrator,blogs-02-18
The narrator,blogs-02-19
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.,blogs-02-20
"I was with him in his last moments but there was
nothing I could do because he was badly injured with a broken neck.",blogs-02-21
"I was with him in his last moments but there was
nothing I could do because he was badly injured with a broken neck.",blogs-02-22
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-23
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-24
The narrator saw some bright flash in a group of trees that was above the narrator.,blogs-02-25
The young man,blogs-02-26
The young man,blogs-02-27
The narrator,blogs-02-28
The squirrel,blogs-04-1
The birds,blogs-04-2
The squirrel's paw slipped off the deck's railing.,blogs-04-3
The birds bathed themselves in the bowl.,blogs-04-4
Squirrels,blogs-04-5
"But oh, if you could have seen the look on his startled face and how he jumped back each time he caught his reflection in the bowl!",blogs-04-6
This is one of those times I wish I had a digital camera.,blogs-04-7
We,blogs-04-8
on the railing,blogs-04-9
on the deck in order for Benjamin,blogs-04-10
The squirrels drank the bowl's water.,blogs-04-11
 The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.,blogs-04-12
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-13
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside.,blogs-04-14
The birds drank the bowl's water.,blogs-04-15
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-16
His bowl has become a very popular site.,blogs-04-17
"Throughout the day, many birds drink out of it and bathe in it.",blogs-04-18
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside.,blogs-04-19
on the deck in order for Benjamin,blogs-04-20
The squirrels drank the bowl's water.,blogs-04-21
an Eagle and a Serpent,fables-03-1
An Eagle,fables-03-2
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-3
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-4
But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.,fables-03-5
upon a Serpent,fables-03-6
The countryman decided to sip from the drinking vessel.,fables-03-7
The eagle,fables-03-8
The eagle spilled the drinking vessel.,fables-03-9
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-10
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-11
In revenge the Serpent spat some of his poison into the man's drinking-horn.,fables-03-12
An Eagle,fables-03-13
the Serpent,fables-03-14
an Eagle and a Serpent,fables-03-15
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-16
A countryman who owned a drinking vessel tried to help the eagle to escape.,fables-03-17
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-18
"The eagle escaped, and the countryman freed the eagle from the serpent.",fables-03-19
But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.,fables-03-20
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-21
An eagle,fables-03-22
The eagle,fables-03-23
An eagle swooped toward a serpent and seized it in order for he to devour it.,fables-03-24
The serpent,fables-03-25
A countryman who owned a drinking vessel,fables-03-26
with the serpent,fables-03-27
A countryman who owned a drinking vessel,fables-03-28
The eagle,fables-03-29
The eagle,fables-03-30
The eagle,fables-03-31
"The eagle fought with the serpent, and the serpent coiled around him.",fables-03-32
"A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.",fables-03-33
An Eagle,fables-03-34
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-35
An Eagle,fables-03-36
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-37
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.0
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.1
"So one day when Maxine and Thomas were swimming, Cindy did something mean.",mc500.train.25.2
a Maxine and a day and a Cindy and a Thomas,mc500.train.25.3
"Thomas loved to take lots of baths, so he became friends with Maxine.",mc500.train.25.4
She loved to play in the water and take a bath every day.,mc500.train.25.5
They were very happy since they could play in the water as much as they wanted without other frogs being mean to them.,mc500.train.25.6
They were very happy since they could play in the water as much as they wanted without other frogs being mean to them.,mc500.train.25.7
cindy,mc500.train.25.8
cindy,mc500.train.25.9
Maxine's dad saw what happened and he was very mad.,mc500.train.25.10
a Maxine and a day and a Cindy and a Thomas,mc500.train.25.11
maxine's,mc500.train.25.12
a Maxine and a day and a Cindy and a Thomas,mc500.train.25.13
"But her friends, Martin, Edgar, and Cindy didn't like to take baths.",mc500.train.25.14
"Martin , Edgar and",mc500.train.25.15
"So one day when Maxine and Thomas were swimming, Cindy did something mean.",mc500.train.25.16
"But her friends, Martin, Edgar, and Cindy didn't like to take baths.",mc500.train.25.17
"So one day when she was swimming alone, she met a new friend named Thomas.",mc500.train.25.18
a Maxine and a day and a Cindy and a Thomas,mc500.train.25.19
a Maxine and a day and a Cindy and a Thomas,mc500.train.25.20
Will was playing his favorite song.,mc500.train.111.0
"When at the store, Will had a good laugh at a very silly looking dog.",mc500.train.111.1
Will heard it start to thunder.,mc500.train.111.2
It stopped raining and Will walked all the way to the store.,mc500.train.111.3
to the living room,mc500.train.111.4
Will sat and finished his dinner in the kitchen.,mc500.train.111.5
a napkin napkin,mc500.train.111.6
Will was playing his favorite song.,mc500.train.111.7
The song was about a flower.,mc500.train.111.8
Will was playing his favorite song.,mc500.train.111.9
Will was playing his favorite song.,mc500.train.111.10
A single star was out in the night sky.,mc500.train.111.11
Will got hungry and went inside to get a biscuit.,mc500.train.111.12
Will got hungry and went inside to get a biscuit.,mc500.train.111.13
He also had jam with it.,mc500.train.111.14
"He didn't want chicken, gravy, or butter on his biscuit.",mc500.train.111.15
Will was playing his favorite song.,mc500.train.111.16
Will was happy he didn't have to get wet walking home.,mc500.train.111.17
She went to Miami to visit some friends.,mc500.train.0.1
Ellen ordered a salad.,mc500.train.0.2
Kristin,mc500.train.0.3
from Atlanta,mc500.train.0.4
Alyssa was happy to spend time with her friends again.,mc500.train.0.5
They stayed the night because they were tired.,mc500.train.0.6
The girls,mc500.train.0.7
alyssa,mc500.train.0.8
Alyssa enjoyed the restaurant's special.,mc500.train.0.9
Kristin had soup.,mc500.train.0.10
to a restaurant,mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.,mc500.train.0.12
Ellen greeted Alyssa and they both had some lemonade to drink.,mc500.train.0.13
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.14
Yes,mc500.train.0.15
Yes,mc500.train.0.16
She's from Charlotte.,mc500.train.0.17
Yes,mc500.train.0.18
It was a happy time for everyone.,mc500.train.0.19
Alyssa enjoyed the restaurant's special.,mc500.train.0.20
an Alyssa and a time and an Ellen and a house and a restaurant,mc500.train.0.21
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.22
She's now in Miami.,mc500.train.0.23
to the beach,mc500.train.0.24
It was Saturday afternoon and Andrew was bored.,mc500.train.23.1
He had been watching TV all day.,mc500.train.23.2
outside the window,mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door.,mc500.train.23.4
On the front,mc500.train.23.5
He had been watching TV all day.,mc500.train.23.6
Andrew and his dad read the story.,mc500.train.23.7
The circus was in town!,mc500.train.23.8
No,mc500.train.23.9
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish.""",mc500.train.23.10
The people and animals at the circus,mc500.train.23.11
Andrew and his dad read the story.,mc500.train.23.12
at the circus,mc500.train.23.13
to the circus,mc500.train.23.14
Andrew and his dad went to the circus.,mc500.train.23.15
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.17
andrew,mc500.train.23.18
The people and animals at the circus did lots of tricks.,mc500.train.23.19
He picked up the newspaper and brought it to his dad.,mc500.train.23.20
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish.""",mc500.train.23.21
andrew,mc500.train.23.22
On the front was a picture of an elephant.,mc500.train.23.23
There weren't any peanuts left to bring home to the goldfish.,mc500.train.23.24
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.1
one morning,mc500.train.18.2
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.3
"The red ones were big, the orange ones were small, and the green ones were in the middle.",mc500.train.18.4
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.5
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.6
She knew where the best flowers were in her yard.,mc500.train.18.7
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.8
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.9
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.10
one morning,mc500.train.18.11
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.12
"The red ones were big, the orange ones were small, and the green ones were in the middle.",mc500.train.18.13
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.14
"She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.",mc500.train.18.15
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.16
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.17
Kelly gave her mother the flowers.,mc500.train.18.18
"She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.",mc500.train.18.19
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.20
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.21
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.23
"She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.",mc500.train.18.24
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.25
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.26
