answer,qid
The squirrels drank the bowl's water.,blogs-04-11
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water.,blogs-04-12
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-13
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside.,blogs-04-14
Louisiana was adversely affected by Hurricane Gustav.,blogs-03-1
"The storm rolled in on Monday, September 1, in the morning.",blogs-03-2
Winds started kicking up.,blogs-03-3
President Bush,blogs-03-4
in Louisiana,blogs-03-5
to a store name Home Depot in order purchase a portable generator,blogs-03-6
An area of a neighborhood of the narrator had a large group of pine trees and had a group of oak trees.,blogs-03-7
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.,blogs-03-8
to the house of the parent of the narrator,blogs-03-9
the narrator a group of car,blogs-03-10
a area of a neighborhood of the narrator a large group of pine tree,blogs-03-11
The tree split apart and fell on the yard of a neighbor.,blogs-03-12
the narrator,blogs-03-13
The group of trees didn't fall on the house of the narrator.,blogs-03-14
"my wife , we five child and we dog",blogs-03-15
on a branch of a tree with a piece of cheese,fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-2
Crow Fox Queen Birds,fables-01-3
a fox observe the crow,fables-01-4
"The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.",fables-01-5
The crow was sitting on a branch of a tree.,fables-01-6
the crow,fables-01-7
The crow was sitting on a branch of a tree.,fables-01-8
of the crow,fables-01-9
a crow,fables-01-10
a fox the crow,fables-01-11
The fox said that the beauty of the bird was incomparable.,fables-01-12
The fox looked toward the crow and said that he saw a noble bird who was above him.,fables-01-13
a Lion a fat bull feeding,fables-02-1
the Bull,fables-02-2
There once was a fat bull.,fables-02-3
The bull was grazing in a meadow.,fables-02-4
a lion the bull,fables-02-5
The lion walked toward the bull and began to feign that the lion was friendly.,fables-02-6
Lion Bull Hunger Believe,fables-02-7
Lion Bull Hunger Believe,fables-02-8
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-9
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-10
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-11
What powerful shoulders and thighs!,fables-02-12
a lion the bull,fables-02-13
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-14
"The lion said to the bull that the lion admired the body of the bull, admired the head of the bull, he admired every shoulder of the bull and admired every thigh of the bull.",fables-02-15
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.,fables-02-16
The lion began to be hungry and decided to attempt to kill the bull.,fables-02-17
There once was a fat bull.,fables-02-18
a summit meeting name g20 summit,blogs-01-1
A summit meeting named G20 summit started on eventful today.,blogs-01-2
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-3
The people burned a police car and threw a thing at a police.,blogs-01-4
the people,blogs-01-5
the people,blogs-01-6
The people burned a police car and threw a thing at a police.,blogs-01-7
the people a police car,blogs-01-8
Police cars were burned and things were thrown at cops.,blogs-01-9
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-12
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-13
the police a tear gas,blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-15
The people protested peacefully on a street.,blogs-01-16
The people rebelled and created riot.,blogs-01-17
Police were in full riot gear to alleviate the violence.,blogs-01-18
She went to Miami to visit some friends.,mc500.train.0.1
Ellen ordered a salad.,mc500.train.0.2
Kristin had soup.,mc500.train.0.3
She traveled from Atlanta.,mc500.train.0.4
Alyssa was happy to spend time with her friends again.,mc500.train.0.5
They stayed the night because they were tired.,mc500.train.0.6
the girl story,mc500.train.0.7
alyssa,mc500.train.0.8
The restaurant had a special on catfish.,mc500.train.0.9
She went to Miami to visit some friends.,mc500.train.0.10
to a restaurant,mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.,mc500.train.0.12
Ellen greeted Alyssa and they both had some lemonade to drink.,mc500.train.0.13
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.14
The girls traded stories and caught up on their lives.,mc500.train.0.15
Alyssa was happy to spend time with her friends again.,mc500.train.0.16
it,mc500.train.23.1
Andrew and his dad went to the circus.,mc500.train.23.2
outside the window,mc500.train.23.3
Andrew and his dad read the story.,mc500.train.23.4
on the front,mc500.train.23.5
He had been watching TV all day.,mc500.train.23.6
Andrew and his dad read the story.,mc500.train.23.7
The circus was in town!,mc500.train.23.8
Andrew had never been to the circus.,mc500.train.23.9
Andrew and his dad read the story.,mc500.train.23.10
the people and animal at the circus lot of trick,mc500.train.23.11
He picked up the newspaper and brought it to his dad.,mc500.train.23.12
He picked up the newspaper and brought it to his dad.,mc500.train.23.13
He picked up the newspaper and brought it to his dad.,mc500.train.23.14
Andrew and his dad went to the circus.,mc500.train.23.15
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.17
andrew andrew dad,mc500.train.23.18
There weren't any peanuts left to bring home to the goldfish.,mc500.train.23.19
He picked up the newspaper and brought it to his dad.,mc500.train.23.20
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish.""",mc500.train.23.21
andrew,mc500.train.23.22
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.1
Kelly,mc500.train.18.2
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.3
"She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.",mc500.train.18.4
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.5
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.6
She knew where the best flowers were in her yard.,mc500.train.18.7
after that,mc500.train.18.8
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.9
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.10
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.11
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.12
"The red ones were big, the orange ones were small, and the green ones were in the middle.",mc500.train.18.13
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.14
"She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.",mc500.train.18.15
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.16
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.17
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.18
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.19
"After that, she had to hide the flowers in a secret spot.",mc500.train.18.20
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.21
