answer,qid
Police cars were burned and things were thrown at cops.,blogs-01-9
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not.,blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-12
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-13
the police a tear gas,blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-15
The people protested peacefully on a street.,blogs-01-16
The people rebelled and created riot.,blogs-01-17
Police were in full riot gear to alleviate the violence.,blogs-01-18
the police a tear gas,blogs-01-19
the people,blogs-01-20
the police a tear gas,blogs-01-21
the police the people of riot,blogs-01-22
A summit meeting named G20 summit started on eventful today.,blogs-01-23
the police a tear gas,blogs-01-24
a Fox a Stork,fables-04-1
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-2
in a flat and large dish,fables-04-3
a fox and a stork and a pitcher,fables-04-4
a Fox invite a Stork,fables-04-5
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.,fables-04-6
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.,fables-04-7
"Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.",fables-04-8
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-9
the stork,fables-04-10
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.,fables-04-11
A clever fox invited a stork to dine.,fables-04-12
The fox only served some soup in a flat and large dish.,fables-04-13
the stork,fables-04-14
the stork,fables-04-15
A clever fox invited a stork to dine.,fables-04-16
the stork,fables-04-17
"The narrator was a teacher, owned some white slip and owned a desk.",blogs-05-1
The narrator checked the group of students for presence and stood at the front of a classroom.,blogs-05-2
the narrator,blogs-05-3
"The narrator resumed teaching, and the group of students didn't react.",blogs-05-4
the narrator,blogs-05-5
The narrator lifted the slip and inserted it into a bottom drawer of the desk.,blogs-05-6
elastic,blogs-05-7
Just thought I would share with you one of my most embarassing moments as a teacher to date.,blogs-05-8
Nervously I looked down to see that my underslip had somehow made its way to the floor.,blogs-05-9
The narrator carefully stepped over the slip.,blogs-05-10
The group of students saw that the slip had fallen because the elastic of the slip was dysfunctional.,blogs-05-11
the narrator bewilderment,blogs-05-12
Ten years ago I was teaching a mixed class of 5th graders ESL.,blogs-05-13
Later that day I wondered how they had described the day to their parents over dinner.,blogs-05-14
later that day i,blogs-05-15
the narrator,blogs-05-16
"The narrator was a teacher, owned some white slip and owned a desk.",blogs-05-17
"""We looked at the teacher's underwear.""",blogs-05-18
Later that day I wondered how they had described the day to their parents over dinner.,blogs-05-19
Later that day I wondered how they had described the day to their parents over dinner.,blogs-05-20
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-1
"As ill-luck would have it, however, the Fox made straight for the fields where the corn was standing ripe and ready for cutting.",fables-05-2
it fire,fables-05-3
The agriculturist set a trap and caught the fox.,fables-05-4
onto the tail of the fox and in order retaliate,fables-05-5
the agriculturist the fiber,fables-05-6
The corn ignited and burned completely.,fables-05-7
the agriculturist a crop,fables-05-8
"It quickly caught fire and was all burnt up, and the Farmer lost all his harvest.",fables-05-9
The agriculturist set a trap and caught the fox.,fables-05-10
the agriculturist the fiber,fables-05-11
The agriculturist began to be unlucky because the fox ran into a field.,fables-05-12
The corn ignited and burned completely.,fables-05-13
he the fowl,fables-05-14
An agriculturist began to be annoyed by the fox.,fables-05-15
the agriculturist a crop,fables-05-16
a young man,blogs-02-1
on my front lawn,blogs-02-2
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-3
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.,blogs-02-5
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-6
my logical mind,blogs-02-7
a young man the motorbike of the young man,blogs-02-8
the narrator,blogs-02-9
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-10
The narrator began to wonder that the flash was an orb,blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.,blogs-02-12
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-13
on the front yard of a narrator,blogs-02-14
a young man the motorbike of the young man,blogs-02-15
the narrator,blogs-02-16
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-17
the narrator some bright flash,blogs-02-18
the narrator the house of the narrator,blogs-02-19
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.,blogs-02-20
the squirrel the bowl,blogs-04-1
the bird themselves,blogs-04-2
The squirrel's paw slipped off the deck's railing.,blogs-04-3
The birds bathed themselves in the bowl.,blogs-04-4
squirrel,blogs-04-5
"But oh, if you could have seen the look on his startled face and how he jumped back each time he caught his reflection in the bowl!",blogs-04-6
This is one of those times I wish I had a digital camera.,blogs-04-7
we a large steel bowl of water outside,blogs-04-8
on the railing,blogs-04-9
on the deck,blogs-04-10
The squirrels drank the bowl's water.,blogs-04-11
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-12
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside.,blogs-04-13
The birds drank the bowl's water.,blogs-04-14
The birds organized themselves on the deck's railing in order for the birds to wait.,blogs-04-15
an Eagle and a Serpent,fables-03-1
a Eagle,fables-03-2
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-3
"a countryman , who be a witness of the encounter",fables-03-4
But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.,fables-03-5
upon a serpent,fables-03-6
The countryman decided to sip from the drinking vessel.,fables-03-7
the eagle the drinking vessel,fables-03-8
The eagle spilled the drinking vessel.,fables-03-9
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-10
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-11
In revenge the Serpent spat some of his poison into the man's drinking-horn.,fables-03-12
a Eagle,fables-03-13
the Serpent,fables-03-14
an Eagle and a Serpent,fables-03-15
"a countryman , who be a witness of the encounter",fables-03-16
A countryman who owned a drinking vessel tried to help the eagle to escape.,fables-03-17
"a countryman , who be a witness of the encounter",fables-03-18
"The eagle escaped, and the countryman freed the eagle from the serpent.",fables-03-19
But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.,fables-03-20
the man,fables-03-21
a eagle,fables-03-22
the eagle,fables-03-23
An eagle swooped toward a serpent and seized it in order for he to devour it.,fables-03-24
the serpent some poison,fables-03-25
a countryman who own a drinking vessel,fables-03-26
with the serpent,fables-03-27
She went to Miami to visit some friends.,mc500.train.0.1
Ellen ordered a salad.,mc500.train.0.2
Kristin soup,mc500.train.0.3
from Atlanta,mc500.train.0.4
Alyssa was happy to spend time with her friends again.,mc500.train.0.5
They stayed the night because they were tired.,mc500.train.0.6
the girl story,mc500.train.0.7
alyssa,mc500.train.0.8
Alyssa enjoyed the restaurant's special.,mc500.train.0.9
Kristin had soup.,mc500.train.0.10
to a restaurant,mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.,mc500.train.0.12
Ellen greeted Alyssa and they both had some lemonade to drink.,mc500.train.0.13
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.14
Yes,mc500.train.0.15
Yes,mc500.train.0.16
She's from Charlotte.,mc500.train.0.17
Yes,mc500.train.0.18
It was a happy time for everyone.,mc500.train.0.19
Alyssa enjoyed the restaurant's special.,mc500.train.0.20
an Alyssa and a time and an Ellen and a house and a restaurant,mc500.train.0.21
"After eating, the ladies went back to Ellen's house to have fun.",mc500.train.0.22
She's now in Miami.,mc500.train.0.23
to the beach,mc500.train.0.24
It was Saturday afternoon and Andrew was bored.,mc500.train.23.1
He had been watching TV all day.,mc500.train.23.2
outside the window,mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door.,mc500.train.23.4
on the front,mc500.train.23.5
He had been watching TV all day.,mc500.train.23.6
Andrew and his dad read the story.,mc500.train.23.7
The circus was in town!,mc500.train.23.8
No,mc500.train.23.9
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish.""",mc500.train.23.10
the people and animal at the circus lot of trick,mc500.train.23.11
He picked up the newspaper and brought it to his dad.,mc500.train.23.12
at the circus,mc500.train.23.13
to the circus,mc500.train.23.14
Andrew and his dad went to the circus.,mc500.train.23.15
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.17
he he dad,mc500.train.23.18
The people and animals at the circus did lots of tricks.,mc500.train.23.19
He picked up the newspaper and brought it to his dad.,mc500.train.23.20
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish.""",mc500.train.23.21
andrew,mc500.train.23.22
On the front was a picture of an elephant.,mc500.train.23.23
There weren't any peanuts left to bring home to the goldfish.,mc500.train.23.24
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.1
one morning,mc500.train.18.2
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.3
"The red ones were big, the orange ones were small, and the green ones were in the middle.",mc500.train.18.4
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.5
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.6
She knew where the best flowers were in her yard.,mc500.train.18.7
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.8
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.9
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.10
one morning,mc500.train.18.11
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.12
"The red ones were big, the orange ones were small, and the green ones were in the middle.",mc500.train.18.13
"Kelly was worried, so she hid them in a new spot that was up higher.",mc500.train.18.14
"She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.",mc500.train.18.15
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.16
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.17
Kelly gave her mother the flowers.,mc500.train.18.18
"She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.",mc500.train.18.19
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.20
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.21
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.23
"She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.",mc500.train.18.24
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.25
Kelly woke up one morning and went outside to her back yard.,mc500.train.18.26
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.0
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.1
"So one day when Maxine and Thomas were swimming, Cindy did something mean.",mc500.train.25.2
a Maxine and a day and a Cindy and a Thomas,mc500.train.25.3
Will was playing his favorite song.,mc500.train.111.0
"When at the store, Will had a good laugh at a very silly looking dog.",mc500.train.111.1
Will heard it start to thunder.,mc500.train.111.2
It stopped raining and Will walked all the way to the store.,mc500.train.111.3
to the living room,mc500.train.111.4
Will sat and finished his dinner in the kitchen.,mc500.train.111.5
